id,max_speed,type
1,60,2
2,60,2
3,60,2
4,60,2
5,60,2
6,60,2
7,60,2
8,60,2
9,60,2
10,60,2
11,60,2
12,60,2
13,60,2
14,60,2
15,60,2
16,60,2
17,60,2
18,60,2
19,60,2
20,60,2
21,60,2
22,60,2
23,60,2
24,60,2
25,60,2
26,60,2
27,60,2
28,60,2
29,60,2
30,60,2
31,60,2
32,60,2
33,60,2
34,60,2
35,60,2
36,60,2
37,60,2
38,60,2
39,60,2
40,60,2
41,60,2
42,60,2
43,60,2
44,60,2
45,60,2
46,60,2
47,60,2
48,60,2
49,60,2
50,60,2
51,60,2
52,60,2
53,60,2
54,60,2
55,60,2
56,60,2
57,60,2
58,60,2
59,60,2
60,60,2
61,60,2
62,60,2
63,60,2
64,60,2
65,60,2
66,60,2
67,60,2
68,60,2
69,60,2
70,60,2
71,60,2
72,60,2
