id,intersection_id,road_id,type,order_id
1,1,1,input,3
2,1,2,output,1
3,1,3,output,3
4,1,4,input,1
5,1,5,output,2
6,1,6,input,2
7,2,7,input,3
8,2,8,output,1
9,2,9,output,3
10,2,10,input,1
11,2,11,output,2
12,2,12,input,2
13,3,13,input,3
14,3,14,output,1
15,3,15,output,3
16,3,16,input,1
17,3,17,output,2
18,3,18,input,2
19,4,19,input,3
20,4,20,output,1
21,4,21,output,3
22,4,22,input,1
23,4,23,output,2
24,4,24,input,2
25,5,25,input,3
26,5,26,output,1
27,5,27,output,3
28,5,28,input,1
29,5,29,output,2
30,5,30,input,2
31,6,31,input,3
32,6,32,output,1
33,6,33,output,3
34,6,34,input,1
35,6,35,output,2
36,6,36,input,2
37,7,37,input,3
38,7,38,output,1
39,7,39,output,3
40,7,40,input,1
41,7,41,output,2
42,7,42,input,2
43,8,43,input,3
44,8,44,output,1
45,8,45,output,3
46,8,46,input,1
47,8,47,output,2
48,8,48,input,2
49,9,49,input,3
50,9,50,output,1
51,9,51,output,3
52,9,52,input,1
53,9,53,output,2
54,9,54,input,2
