id,road_id,link_id,type
1,1,1,main
2,2,2,main
3,3,3,main
4,4,4,main
5,5,5,main
6,6,6,main
7,1,7,right
8,4,8,right
9,6,9,right
10,7,10,main
11,8,11,main
12,9,12,main
13,10,13,main
14,11,14,main
15,12,15,main
16,7,16,right
17,10,17,right
18,12,18,right
19,13,19,main
20,14,20,main
21,15,21,main
22,16,22,main
23,17,23,main
24,18,24,main
25,13,25,right
26,16,26,right
27,18,27,right
28,19,28,main
29,20,29,main
30,21,30,main
31,22,31,main
32,23,32,main
33,24,33,main
34,19,34,right
35,22,35,right
36,24,36,right
37,25,37,main
38,26,38,main
39,27,39,main
40,28,40,main
41,29,41,main
42,30,42,main
43,25,43,right
44,28,44,right
45,30,45,right
46,31,46,main
47,32,47,main
48,33,48,main
49,34,49,main
50,35,50,main
51,36,51,main
52,31,52,right
53,34,53,right
54,36,54,right
55,37,55,main
56,38,56,main
57,39,57,main
58,40,58,main
59,41,59,main
60,42,60,main
61,37,61,right
62,40,62,right
63,42,63,right
64,43,64,main
65,44,65,main
66,45,66,main
67,46,67,main
68,47,68,main
69,48,69,main
70,43,70,right
71,46,71,right
72,48,72,right
73,49,73,main
74,50,74,main
75,51,75,main
76,52,76,main
77,53,77,main
78,54,78,main
79,49,79,right
80,52,80,right
81,54,81,right
